menu,afghanistan,bangladesh,bhutan,brunei,cambodia,east_timor,fiji,kiribati,laos,malaysia,micronesia,myanmar,nepal,pakistan,papua_new_guinea,solomon_islands,sri_lanka,syria,tonga,uzbekistan,vanuatu,vietnam,yemen,india,indonesia,Total,Fetched_date
public_transport route,24.0,62.0,55.0,151.0,238.0,13.0,51.0,0.0,183.0,1207.0,0.0,2574.0,1224.0,2121.0,18.0,1.0,1419.0,138.0,5.0,1759.0,24.0,1284.0,36.0,12325.0,3399.0,28311.0,2024-09-08 06:21:33.138713
railways,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-08 06:21:33.138713
recycling container,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,44.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,15.0,4.0,36.0,35.0,170.0,2024-09-08 06:21:33.138713
ref in name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2024-09-08 06:21:33.138713
related objects,1.0,5.0,11.0,0.0,2.0,0.0,0.0,0.0,2.0,24.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,30.0,51.0,138.0,2024-09-08 06:21:33.138713
relation,7.0,47.0,17.0,3.0,7.0,2.0,15.0,0.0,3.0,60.0,1.0,22.0,22.0,69.0,16.0,4.0,18.0,37.0,0.0,39.0,0.0,50.0,1.0,404.0,227.0,1071.0,2024-09-08 06:21:33.138713
relation role,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,62.0,4.0,12.0,20.0,0.0,5.0,1.0,0.0,9.0,0.0,24.0,4.0,111.0,48.0,325.0,2024-09-08 06:21:33.138713
relation type=boundary,2.0,4.0,1893.0,85.0,22.0,0.0,0.0,31.0,3.0,19.0,132.0,163.0,2.0,39.0,0.0,0.0,8.0,29.0,0.0,53.0,0.0,5608.0,0.0,93.0,1746.0,9932.0,2024-09-08 06:21:33.138713
relation type=restriction,0.0,21.0,0.0,3.0,11.0,22.0,1.0,0.0,5.0,641.0,0.0,68.0,23.0,1.0,5.0,0.0,29.0,0.0,0.0,76.0,0.0,50.0,1.0,501.0,160.0,1618.0,2024-09-08 06:21:33.138713
reverse roundabout,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,2.0,49.0,2024-09-08 06:21:33.138713
route access mismatch,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,163.0,4.0,190.0,2024-09-08 06:21:33.138713
sideway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,8.0,5.0,77.0,2024-09-08 06:21:33.138713
similar name,0.0,450.0,0.0,8.0,631.0,2.0,3.0,1.0,4.0,1535.0,0.0,0.0,416.0,546.0,2.0,0.0,329.0,26.0,0.0,0.0,3.0,2893.0,19.0,2431.0,1934.0,11233.0,2024-09-08 06:21:33.138713
similar values,99.0,38.0,1.0,0.0,51.0,0.0,1.0,0.0,6.0,219.0,0.0,17.0,16.0,63.0,6.0,24.0,12.0,55.0,0.0,38.0,0.0,92.0,14.0,919.0,288.0,1959.0,2024-09-08 06:21:33.138713
small land use,922.0,186.0,9.0,0.0,14.0,23.0,5.0,0.0,52.0,151.0,0.0,115.0,433.0,15.0,78.0,5.0,102.0,41.0,5.0,306.0,5.0,46.0,15.0,963.0,788.0,4279.0,2024-09-08 06:21:33.138713
source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-08 06:21:33.138713
specific France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-08 06:21:33.138713
split building,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-08 06:21:33.138713
street numbers,265.0,14400.0,1611.0,1369.0,1763.0,91.0,1522.0,5.0,307.0,17409.0,6.0,3258.0,9025.0,113426.0,64.0,22.0,3069.0,265.0,2.0,97663.0,28.0,21980.0,402.0,114037.0,48732.0,450721.0,2024-09-08 06:21:33.138713
sudden highway type change,299.0,329.0,30.0,7.0,10.0,14.0,9.0,7.0,42.0,237.0,10.0,228.0,254.0,534.0,21.0,8.0,93.0,228.0,3.0,154.0,11.0,1118.0,129.0,4777.0,830.0,9382.0,2024-09-08 06:21:33.138713
surface intersection,1304.0,2523.0,29.0,4.0,118.0,61.0,36.0,2.0,104.0,321.0,0.0,1062.0,2158.0,794.0,54.0,80.0,876.0,375.0,6.0,1708.0,9.0,970.0,75.0,5795.0,5405.0,23869.0,2024-09-08 06:21:33.138713
swimming pool,4.0,14.0,2.0,0.0,1.0,1.0,20.0,0.0,7.0,19.0,1.0,13.0,19.0,18.0,0.0,0.0,39.0,40.0,1.0,17.0,0.0,47.0,16.0,201.0,309.0,789.0,2024-09-08 06:21:33.138713
tagwatch cleaner,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,16.0,0.0,36.0,7.0,15.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,104.0,0.0,43.0,197.0,587.0,2024-09-08 06:21:33.138713
territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-08 06:21:33.138713
